trial_nb_pe,prolific_id,RT.pe_task,id,prob,pe_task,utt.standardized,slider,uc_task,custom_response,RT.uc_task,cost.uc,trial_nb_uc,human_exp2,pe_task.smooth,education,gender,age,timeSpent
2,5ee454ad40c72e152991826e,24198,if2_hl,b,0.73,blue falls but green does not fall,b,the green block does not fall but the blue block falls,NA,22853,6,3,1,0.7299980800076801,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,g,0,green falls but blue does not fall,g,NA,NA,NA,NA,NA,NA,9.99996000016e-7,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,bg,0.27,both blocks fall,bg,NA,NA,NA,NA,NA,NA,0.26999992000032,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,none,0,neither block falls,none,NA,NA,NA,NA,NA,NA,9.99996000016e-7,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_a,1,blue falls,NA,NA,NA,NA,NA,NA,NA,0.9999980000080001,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_c,0.27,green falls,NA,NA,NA,NA,NA,NA,NA,0.27000091999632003,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_na,0,blue does not fall,NA,NA,NA,NA,NA,NA,NA,1.999992000032e-6,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_nc,0.73,green does not fall,NA,NA,NA,NA,NA,NA,NA,0.7299990800036801,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_c_given_a,0.27,if blue falls green falls,NA,NA,NA,NA,NA,NA,NA,0.27000045999908,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_c_given_na,NA,if blue does not fall green falls,NA,NA,NA,NA,NA,NA,NA,0.5,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_a_given_c,1,if green falls blue falls,NA,NA,NA,NA,NA,NA,NA,0.999996296323731,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_a_given_nc,1,if green does not fall blue falls,NA,NA,NA,NA,NA,NA,NA,0.9999986301407393,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_nc_given_a,0.73,if blue falls green does not fall,NA,NA,NA,NA,NA,NA,NA,0.72999954000092,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_nc_given_na,NA,if blue does not fall green does not fall,NA,NA,NA,NA,NA,NA,NA,0.5,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_na_given_c,0,if green falls blue does not fall,NA,NA,NA,NA,NA,NA,NA,3.703676269064674e-6,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_na_given_nc,0,if green does not fall blue does not fall,NA,NA,NA,NA,NA,NA,NA,1.3698592606595598e-6,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_likely_a,1,blue might fall,NA,NA,NA,NA,NA,NA,NA,0.9999980000080001,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_likely_na,0,blue might not fall,NA,NA,NA,NA,NA,NA,NA,1.999992000032e-6,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_likely_c,0.27,green might fall,NA,NA,NA,NA,NA,NA,NA,0.27000091999632003,Higher Degree,male,48,22.705416666666668
2,5ee454ad40c72e152991826e,24198,if2_hl,p_likely_nc,0.73,green might not fall,NA,NA,NA,NA,NA,NA,NA,0.7299990800036801,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,b,0.28,blue falls but green does not fall,b,NA,NA,NA,NA,NA,NA,0.27999988000048,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,g,0,green falls but blue does not fall,g,NA,NA,NA,NA,NA,NA,9.999960000159999e-7,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,bg,0.66,both blocks fall,bg,both blocks fall,NA,7030,2,5,1,0.65999836000656,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,none,0.06,neither block falls,none,NA,NA,NA,NA,NA,NA,0.06000075999696,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,p_a,0.9400000000000001,blue falls,NA,NA,NA,NA,NA,NA,NA,0.9399982400070399,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,p_c,0.66,green falls,NA,NA,NA,NA,NA,NA,NA,0.65999936000256,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,p_na,0.06,blue does not fall,NA,NA,NA,NA,NA,NA,NA,0.060001759992960015,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,p_nc,0.34,green does not fall,NA,NA,NA,NA,NA,NA,NA,0.34000063999744,Higher Degree,male,48,22.705416666666668
4,5ee454ad40c72e152991826e,19982,if1_uh,p_c_given_a,0.7021276595744681,if blue falls green falls,NA,NA,NA,NA,NA,NA,NA,0.702127229516533,Higher Degree,male,48,22.705416666666668
